id,latitude,longitude,lap,navigation,vehicle_id,sample,datetime
13919546,-13.5528543,-71.8651352,2,100,SJ20,1060,2023-03-05 10:27:59
13919570,-13.5529898,-71.8642269,2,100,SJ20,1060,2023-03-05 10:28:13
13919621,-13.5531321,-71.863375,2,95,SJ20,1060,2023-03-05 10:28:36
13919639,-13.5532819,-71.862335,2,98,SJ20,1060,2023-03-05 10:28:48
13919689,-13.553433,-71.8614324,2,95,SJ20,1060,2023-03-05 10:29:15
13919714,-13.5535417,-71.8605673,2,99,SJ20,1060,2023-03-05 10:29:27
13919738,-13.5538305,-71.8591808,2,106,SJ20,1060,2023-03-05 10:29:39
13919763,-13.5544627,-71.8579282,2,121,SJ20,1060,2023-03-05 10:29:51
13919820,-13.5550682,-71.8570625,2,122,SJ20,1060,2023-03-05 10:30:19
13919840,-13.5556412,-71.8562703,2,125,SJ20,1060,2023-03-05 10:30:31
